"","x","y"
"60",1185,0.726404487122206
"61",1186,0.974749342925152
"62",1187,0.982394584989326
"63",1188,0.73302181779322
"64",1189,0.68103082081449
"65",1190,0.849387758162437
"66",1191,1.49717315759915
"67",1192,0.863694094832128
"68",1193,0.885467530474539
"69",1194,0.617728291233851
"70",1195,1.19945918744923
"71",1196,1.42017811171228
"72",1197,0.984351480288815
"73",1198,0.986466884175679
"74",1199,1.01460002010396
"75",1200,1.67937710926028
"76",1201,0.851892441953553
"77",1202,0.523473769558216
"78",1203,1.31746803411717
"79",1204,0.799183379139245
"80",1205,0.959196961274076
"81",1206,1.17751524220293
"82",1207,1.21952279462292
"83",1208,1.09357471679403
"84",1209,0.613594750271315
"85",1210,0.70631097295569
"86",1211,0.703093790545697
"87",1212,1.56387863842879
"88",1213,1.57656460922959
"89",1214,0.876183479655449
"90",1215,1.25343103754897
"91",1216,1.02645638897803
"92",1217,1.09719815131476
"93",1218,1.45704840429664
"94",1219,0.977238321772444
"95",1220,1.05457156450751
"96",1221,1.04115106050064
"97",1222,1.23742581567614
"98",1223,0.500095257696346
"99",1224,1.21759762512782
"100",1225,1.3617912867729
"101",1226,0.84590192271603
"102",1227,0.96356892793423
"103",1228,1.58978034618582
"104",1229,1.08887312022119
"105",1230,1.20810507474766
"660",1231,NA
"661",1232,NA
"662",1233,NA
"663",1234,NA
"664",1235,NA
"665",1236,NA
"666",1237,NA
"667",1238,NA
"668",1239,NA
"669",1240,NA
"670",1241,NA
"671",1242,NA
"672",1243,NA
"673",1244,NA
"674",1245,NA
"675",1246,NA
"676",1247,NA
"677",1248,NA
"678",1249,NA
"679",1250,NA
"680",1251,NA
"681",1252,NA
"682",1253,NA
"683",1254,NA
"684",1255,NA
"685",1256,NA
"686",1257,NA
"687",1258,NA
"688",1259,NA
"689",1260,NA
"690",1261,NA
"691",1262,NA
"692",1263,NA
"693",1264,NA
"694",1265,NA
"695",1266,NA
"696",1267,NA
"697",1268,NA
"698",1269,NA
"699",1270,NA
"700",1271,NA
"701",1272,NA
"702",1273,NA
"703",1274,NA
"704",1275,NA
"705",1276,NA
"706",1277,NA
"707",1278,NA
"708",1279,NA
"709",1280,NA
"710",1281,NA
"711",1282,NA
"712",1283,NA
"713",1284,NA
"714",1285,NA
"715",1286,NA
"716",1287,NA
"717",1288,NA
"718",1289,NA
"719",1290,NA
"720",1291,NA
"721",1292,NA
"722",1293,NA
"723",1294,NA
"724",1295,NA
"725",1296,NA
"726",1297,NA
"727",1298,NA
"728",1299,NA
"729",1300,NA
"730",1301,NA
"731",1302,NA
"732",1303,NA
"733",1304,NA
"734",1305,NA
"735",1306,NA
"736",1307,NA
"737",1308,NA
"738",1309,NA
"739",1310,NA
"740",1311,NA
"741",1312,NA
"742",1313,NA
"743",1314,NA
"744",1315,NA
"745",1316,NA
"746",1317,NA
"747",1318,NA
"748",1319,NA
"749",1320,NA
"750",1321,NA
"751",1322,NA
"752",1323,NA
"753",1324,NA
"754",1325,NA
"755",1326,NA
"756",1327,NA
"757",1328,NA
"758",1329,NA
"759",1330,NA
"760",1331,NA
"761",1332,NA
"762",1333,NA
"763",1334,NA
"764",1335,NA
"765",1336,NA
"766",1337,NA
"767",1338,NA
"768",1339,NA
"769",1340,NA
"770",1341,NA
"771",1342,NA
"772",1343,NA
"773",1344,NA
"774",1345,NA
"775",1346,NA
"776",1347,NA
"777",1348,NA
"778",1349,NA
"779",1350,NA
"780",1351,NA
"781",1352,NA
"782",1353,NA
"783",1354,NA
"784",1355,NA
"785",1356,NA
"786",1357,NA
"787",1358,NA
"788",1359,NA
"789",1360,NA
"790",1361,NA
"791",1362,NA
"792",1363,NA
"793",1364,NA
"794",1365,NA
"795",1366,NA
"796",1367,NA
"797",1368,NA
"798",1369,NA
"799",1370,NA
"800",1371,NA
"801",1372,NA
"802",1373,NA
"803",1374,NA
"804",1375,NA
"805",1376,NA
"806",1377,NA
"807",1378,NA
"808",1379,NA
"809",1380,NA
"810",1381,NA
"811",1382,NA
"812",1383,NA
"813",1384,NA
"814",1385,NA
"815",1386,NA
"816",1387,NA
"817",1388,NA
"818",1389,NA
"819",1390,NA
"820",1391,NA
"821",1392,NA
"106",1393,1.92546841535633
"107",1394,1.31701132919275
"108",1395,1.50676549973235
"109",1396,1.43323737790816
"110",1397,1.57395229443047
"111",1398,1.44764083556277
"112",1399,1.49345498446753
"113",1400,1.19545098886019
"114",1401,0.852352017817921
"115",1402,1.25654106761864
"116",1403,1.44442835481843
"117",1404,1.80842341463892
"118",1405,1.72141214949866
"119",1406,1.34612032026993
"120",1407,1.16444621654512
"121",1408,1.00647707792256
"122",1409,1.28034700898207
"123",1410,0.910169014240907
"124",1411,0.70981668201063
"125",1412,1.15625484354159
"126",1413,0.778429210272398
"127",1414,1.3154587975493
"128",1415,0.905457248347404
"129",1416,1.30018233099388
"130",1417,0.913423564004082
"131",1418,1.39785865607946
"132",1419,1.50853965467635
"133",1420,1.35232810715602
"134",1421,0.709416181106883
"135",1422,1.39742326036006
"136",1423,1.92855530984334
"137",1424,1.16913517231529
"138",1425,1.03375772395027
"139",1426,1.03695828590844
"140",1427,1.13178541839375
"141",1428,0.704801000704163
"142",1429,1.56966474085405
